Age,Money,Credit_level,Grade
31,45900000,8,2
73,32900000,6,1
47,5200000,4,2
40,724400000,3,3
50,37500000,5,2
27,17000000,6,2
39,873700000,5,3
73,24600000,4,1
57,31200000,7,1
25,29100000,2,3
45,4900000,6,2
76,34400000,7,1
65,10200000,7,1
22,17200000,6,3
47,172800000,3,2
61,10800000,5,1
69,223500000,4,2
51,525600000,6,3
42,29300000,5,2
53,19800000,3,2
71,46700000,7,1
39,15700000,5,2
42,36200000,4,2
53,1300000,3,2
51,23200000,6,1
59,26300000,8,1
29,4400000,5,2
39,39000000,6,2
69,21300000,1,3
35,6900000,7,2
63,25300000,6,1
37,417700000,8,3
45,48500000,5,2
26,25400000,5,2
20,34700000,3,3
27,1200000,5,2
33,4600000,1,4
27,15900000,5,2
80,903400000,8,3
44,700000,6,2
72,33800000,4,1
39,21700000,3,2
29,3300000,6,2
46,218100000,5,2
20,779000000,4,5
46,25500000,4,2
56,30700000,5,1
56,14400000,7,1
28,10200000,7,2
28,30800000,5,2
29,26900000,2,3
24,11500000,3,3
30,229300000,5,3
45,588600000,8,3
70,35200000,5,1
25,1100000,3,3
45,42500000,5,2
53,5700000,6,1
24,16800000,5,3
21,29500000,3,3
39,16800000,4,2
24,4300000,4,3
42,34500000,4,2
79,311400000,2,3
74,37600000,4,1
78,32900000,1,3
45,30300000,8,1
57,49800000,5,2
68,42100000,7,1
47,45300000,7,2
75,3700000,7,1
37,30600000,7,2
23,1700000,2,3
61,12400000,6,1
33,40900000,7,2
53,44500000,5,2
55,656300000,5,3
28,12400000,5,2
33,21200000,7,2
53,6600000,1,3
27,33000000,7,2
70,900000,8,1
41,276000000,5,2
38,17100000,8,2
36,4900000,1,3
67,935100000,4,3
22,141900000,5,3
64,1700000,1,3
71,26200000,6,1
61,8800000,7,1
37,4100000,5,2
25,12700000,4,3
77,32900000,6,1
24,39600000,6,3
31,14500000,1,4
74,7300000,3,2
49,24400000,8,1
64,42300000,3,2
60,8700000,2,2
43,33000000,5,2
72,891400000,3,3
72,6600000,5,1
72,25500000,2,2
80,166300000,8,1
27,575700000,6,3
34,271200000,8,2
36,19000000,1,3
29,6600000,3,3
48,9500000,5,2
72,10600000,1,3
35,10900000,3,2
26,16800000,1,4
75,48100000,4,1
75,26900000,6,1
37,7500000,6,2
75,6000000,7,1
21,29500000,7,3
79,772600000,7,3
30,41500000,2,3
56,361800000,7,2
80,719900000,6,3
30,47400000,5,2
27,1600000,4,2
72,475500000,4,3
22,911700000,3,5
36,27400000,3,2
72,39400000,7,1
76,12700000,2,2
22,806500000,8,4
39,1300000,7,2
56,43000000,8,1
38,44900000,4,2
69,32500000,1,3
28,10000000,2,3
52,44500000,5,2
20,3800000,1,5
35,34400000,8,2
46,625400000,2,3
67,16900000,7,1
77,411600000,3,3
73,893600000,1,5
31,20900000,3,2
48,2200000,6,1
60,2200000,3,2
20,31100000,6,3
22,35200000,6,3
43,48200000,3,2
42,679900000,2,4
77,42400000,4,1
25,14300000,3,3
35,45400000,5,2
78,700000,6,1
35,25600000,5,2
70,18800000,5,1
60,151100000,2,2
62,3700000,1,3
44,36600000,3,2
44,29700000,2,2
44,34000000,4,2
42,3600000,2,2
39,21700000,2,3
54,25800000,2,2
39,33200000,1,3
24,46400000,4,3
53,22900000,4,2
49,17300000,6,1
51,37000000,8,1
73,33500000,7,1
78,165900000,8,1
30,13600000,5,2
26,192200000,2,3
46,33400000,1,3
26,47800000,5,3
47,142600000,1,3
65,132000000,7,1
41,1400000,6,2
57,124500000,2,2
60,48900000,5,1
75,5200000,4,1
39,26400000,2,3
51,7500000,5,1
59,28000000,5,1
30,41200000,7,2
39,36900000,4,2
79,336900000,8,2
75,708800000,6,3
78,20200000,4,1
59,836600000,2,4
72,1300000,1,3
51,27400000,6,1
21,391900000,7,3
35,3700000,8,2
27,24000000,3,3
44,37700000,4,2
51,14200000,8,1
39,10400000,6,2
27,29100000,5,2
65,4100000,1,3
27,10900000,8,2
51,14300000,6,1
78,21400000,5,1
76,24000000,7,1
21,33900000,8,3
54,13600000,8,1
30,41400000,2,3
77,73600000,1,3
34,692500000,4,3
38,40800000,1,3
42,36200000,5,2
48,5500000,1,3
28,260000000,3,3
76,41900000,7,1
73,14000000,1,3
54,30500000,7,1
61,12700000,5,1
26,10400000,8,2
70,539100000,8,2
36,308000000,8,2
77,627900000,4,3
67,22200000,2,2
46,18500000,2,2
72,16400000,7,1
68,19200000,7,1
68,880500000,3,3
78,27100000,3,2
54,21400000,1,3
45,34400000,6,2
79,27800000,5,1
61,3200000,6,1
61,42500000,2,2
22,2300000,4,3
74,609700000,1,4
63,697700000,8,3
58,27400000,8,1
27,42500000,2,3
25,24100000,1,4
54,34500000,2,2
44,23600000,5,2
20,908700000,8,5
23,38000000,2,3
36,631600000,4,3
51,6800000,5,1
41,2100000,6,2
21,27200000,5,3
73,43100000,7,1
72,12200000,4,1
45,3100000,7,1
37,18300000,8,2
70,38100000,2,2
48,5600000,6,1
28,26100000,1,4
76,29500000,8,1
75,35300000,4,1
34,646500000,1,5
42,337300000,6,2
57,44000000,5,1
52,711100000,3,3
49,10400000,6,1
63,754100000,5,3
20,20600000,1,5
43,29000000,6,2
78,42500000,4,1
51,12500000,1,3
37,10400000,5,2
28,9400000,1,4
79,12800000,2,2
78,15000000,4,1
54,238900000,5,2
67,400400000,7,2
72,185900000,8,1
52,547400000,8,3
66,27600000,7,1
60,5000000,5,1
28,29300000,5,2
75,22300000,8,1
21,47600000,6,3
44,1900000,6,2
55,8700000,3,2
69,11800000,2,2
55,267400000,4,2
47,36400000,5,2
27,30000000,7,2
40,32400000,4,2
77,9400000,2,2
56,702300000,7,3
23,26700000,4,3
48,37300000,2,2
55,383100000,7,2
56,18500000,5,1
45,47000000,2,2
42,26700000,6,2
54,45700000,2,2
27,37100000,3,3
57,21700000,4,2
49,7800000,7,1
30,11900000,7,2
33,642100000,1,5
50,10600000,1,3
79,760000000,6,3
55,46700000,7,1
54,6800000,1,3
76,3000000,4,1
39,1100000,6,2
59,34000000,6,1
51,40600000,7,1
52,9300000,4,2
39,7200000,2,3
39,46300000,3,2
48,2600000,3,2
23,31900000,4,3
32,34300000,6,2
56,31300000,1,3
55,492900000,6,3
44,30000000,8,2
35,17300000,8,2
57,43300000,6,1
42,32900000,1,3
48,35600000,7,1
67,32400000,4,1
74,15400000,2,2
38,825200000,1,5
57,4100000,2,2
45,25000000,3,2
78,28800000,3,2
73,555400000,4,3
68,18900000,2,2
41,48900000,6,2
20,218700000,2,4
67,918600000,7,3
32,614300000,7,3
40,7800000,2,3
54,27000000,6,1
58,39200000,7,1
46,26300000,8,1
77,17300000,6,1
24,10500000,4,3
59,632600000,6,3
73,27800000,5,1
59,43700000,7,1
26,36300000,6,2
23,900000,8,2
65,29300000,1,3
31,20100000,6,2
34,15700000,4,2
59,7600000,8,1
33,27800000,3,2
42,15900000,8,2
22,49100000,7,3
59,26700000,5,1
59,28300000,2,2
48,30900000,2,2
25,12800000,4,3
66,42100000,3,2
77,26300000,5,1
47,43500000,5,2
44,43400000,5,2
23,30200000,5,3
47,45000000,1,3
43,4200000,2,2
38,9700000,7,2
40,3400000,5,2
41,162200000,8,2
66,715500000,8,3
64,17900000,8,1
72,31500000,1,3
77,21300000,5,1
20,6300000,5,3
80,31500000,7,1
49,31700000,5,2
62,404300000,4,2
72,20600000,3,2
58,5600000,5,1
57,36000000,5,1
76,10100000,8,1
48,40900000,3,2
53,24200000,1,3
54,10800000,8,1
58,204100000,2,3
34,407600000,2,3
76,27000000,5,1
33,799100000,5,4
65,2100000,7,1
64,39700000,4,2
26,19400000,8,2
45,445300000,6,3
80,9300000,5,1
27,15200000,4,3
76,21700000,1,3
57,24500000,7,1
63,10000000,3,2
51,18100000,5,2
46,42000000,6,2
28,42200000,4,3
31,44500000,1,4
52,802100000,5,3
75,40800000,8,1
26,32700000,7,2
76,29800000,1,3
31,20200000,2,3
78,920800000,5,3
79,46000000,2,2
43,47900000,6,2
79,25000000,4,1
61,11900000,4,1
77,10800000,8,1
76,32600000,2,2
35,37300000,4,2
20,100000,4,3
54,4500000,7,1
25,3900000,8,2
21,26300000,6,3
67,378000000,2,3
77,12100000,8,1
47,14200000,5,2
24,18800000,2,3
76,17700000,8,1
27,44600000,1,4
22,17300000,3,3
46,15900000,6,2
53,31000000,3,2
64,662300000,2,3
56,42300000,8,1
28,175400000,7,3
65,138300000,6,2
51,243500000,1,4
71,3200000,3,2
47,35100000,3,2
51,346700000,6,2
77,481100000,4,2
45,11100000,1,3
43,24000000,1,3
24,10800000,2,3
38,46900000,7,2
47,12600000,8,1
79,36500000,6,1
78,110900000,2,2
35,11500000,4,2
74,20800000,3,2
61,39900000,6,1
45,972700000,2,4
49,220400000,5,2
62,528600000,1,4
31,1300000,5,2
70,329900000,4,2
36,46400000,4,2
21,193600000,2,4
66,34700000,8,1
61,26800000,6,1
34,48800000,4,2
53,24700000,3,2
64,4100000,5,1
55,38800000,3,2
73,73000000,3,2
73,17600000,4,1
25,23700000,8,2
20,47700000,8,3
26,35600000,4,3
61,40300000,4,2
64,29500000,7,1
52,65100000,8,1
78,306900000,4,2
77,7000000,5,1
65,35400000,1,3
34,87800000,8,2
55,12500000,2,2
30,369100000,1,5
46,826800000,8,3
49,256300000,8,2
62,22300000,7,1
40,16600000,1,3
55,44700000,2,2
37,22900000,3,2
22,21800000,6,3
59,6200000,6,1
27,20200000,6,2
52,366400000,7,2
64,107900000,3,2
26,25200000,8,2
70,402400000,7,2
63,31900000,2,2
21,35500000,2,3
53,67300000,7,1
50,16900000,4,2
70,856100000,6,3
30,10300000,7,2
37,148800000,1,4
64,27800000,6,1
24,5000000,8,2
33,12600000,8,2
45,19100000,8,1
30,46400000,5,2
54,18000000,1,3
68,29100000,4,1
28,42000000,1,4
78,24600000,7,1
37,5700000,6,2
49,4900000,1,3
36,41600000,2,3
65,43800000,1,3
69,24300000,8,1
41,16700000,3,2
48,432800000,8,2
72,726900000,6,3
50,27700000,1,3
32,30900000,5,2
28,276900000,5,3
39,11200000,1,3
43,106100000,1,3
65,42700000,3,2
66,38200000,5,1
69,14700000,5,1
78,12400000,8,1
71,15600000,6,1
41,9500000,8,2
36,650100000,7,3
48,40200000,1,3
41,47500000,5,2
20,23300000,7,3
54,22500000,3,2
63,23600000,2,2
44,37900000,5,2
74,48300000,5,1
21,24700000,1,4
54,29500000,6,1
27,154200000,3,3
49,24400000,2,2
61,251500000,5,2
76,39000000,6,1
76,7800000,7,1
66,31500000,4,1
64,39400000,2,2
48,10500000,3,2
67,14600000,1,3
35,45900000,2,3
33,47400000,2,3
75,12000000,6,1
25,830200000,6,4
58,14000000,5,1
43,39700000,6,2
53,133000000,6,2
56,891900000,1,5
79,2800000,3,1
63,35000000,1,3
28,363000000,4,3
76,5800000,3,2
62,10100000,2,2
56,26900000,8,1
51,30600000,1,3
34,37000000,2,3
61,15900000,8,1
34,36100000,1,4
74,25900000,7,1
22,43700000,3,3
54,35100000,4,2
27,19400000,6,2
66,875800000,8,3
75,44800000,8,1
31,22000000,5,2
40,44000000,2,3
45,3900000,7,1
66,903900000,6,3
26,33500000,3,3
32,21400000,5,2
58,886300000,5,3
48,17100000,3,2
52,44600000,7,1
45,11500000,4,2
60,924100000,3,3
36,33700000,5,2
43,14000000,1,3
63,45100000,6,1
34,47900000,4,2
51,700700000,6,3
58,677900000,4,3
20,44400000,8,3
41,26800000,7,2
50,22700000,8,1
38,27300000,4,2
40,1300000,4,2
72,7300000,3,2
33,662400000,1,5
68,32700000,1,3
22,40100000,7,3
39,11500000,4,2
34,23000000,5,2
46,16500000,7,1
29,762300000,6,4
45,29900000,7,2
46,45900000,1,3
21,30900000,3,3
32,36800000,4,2
75,34300000,7,1
25,34500000,2,3
57,27900000,5,1
53,579700000,6,3
52,205000000,8,2
68,68200000,5,1
33,22700000,6,2
30,15800000,4,2
68,409500000,8,2
52,43900000,2,2
35,2600000,1,3
65,38100000,3,2
33,18900000,7,2
78,26200000,5,1
63,46200000,6,1
61,28100000,3,2
65,25000000,8,1
75,124700000,1,3
69,664200000,2,3
20,6500000,6,3
32,47100000,2,3
54,468900000,1,4
48,814600000,3,3
35,131000000,8,2
36,4800000,7,2
64,1700000,3,2
61,391100000,5,2
48,18700000,3,2
59,11800000,1,3
47,7300000,2,2
36,26100000,1,3
21,603100000,7,4
43,13400000,6,2
76,205900000,7,2
54,32400000,6,1
58,217200000,4,2
48,47500000,2,2
73,219200000,8,2
24,8700000,5,3
76,24700000,3,2
62,25900000,8,1
27,38700000,8,2
66,33500000,8,1
65,2300000,4,1
71,3500000,6,1
71,2300000,2,2
66,5700000,5,1
47,33200000,5,2
66,12800000,4,1
61,5100000,1,3
53,1200000,4,2
47,1500000,1,3
29,17800000,8,2
40,29500000,4,2
60,25000000,4,2
27,20200000,1,4
25,5500000,5,3
75,10400000,1,3
60,23600000,4,2
61,13400000,4,1
35,29600000,5,2
52,42000000,5,2
30,7500000,7,2
24,46500000,5,3
72,21900000,2,2
35,784300000,6,3
78,13100000,1,3
74,31900000,2,2
43,29300000,2,2
26,33100000,3,3
35,14200000,1,3
46,36500000,1,3
30,789300000,2,4
58,40200000,2,2
41,22500000,2,3
65,44600000,6,1
51,886200000,6,3
48,21000000,5,2
45,47800000,7,2
62,9800000,1,3
76,587600000,3,3
40,28500000,8,2
26,4000000,7,2
33,427800000,2,3
28,27500000,7,2
66,29000000,6,1
73,35100000,2,2
44,34900000,2,2
23,30100000,4,3
45,786700000,7,3
51,26700000,6,1
68,428000000,4,2
63,4400000,8,1
71,487000000,1,4
72,18500000,5,1
73,20600000,3,2
43,23000000,5,2
60,36600000,1,3
67,36400000,6,1
47,39000000,8,1
65,447100000,1,4
32,962800000,1,5
51,12200000,4,2
28,45000000,5,2
23,48500000,4,3
55,38000000,6,1
29,48600000,8,2
35,48500000,4,2
55,779000000,5,3
43,44000000,3,2
35,702500000,3,4
49,335400000,2,3
52,3300000,5,1
73,15600000,1,3
41,3900000,1,3
27,574200000,1,5
39,21900000,3,2
44,48200000,4,2
27,623000000,3,4
40,18700000,5,2
35,37300000,2,3
74,48100000,5,1
32,12100000,6,2
31,879500000,4,4
68,3100000,6,1
80,48200000,4,1
54,961400000,6,3
77,24800000,6,1
59,25800000,4,2
61,11900000,3,2
34,41200000,4,2
74,9400000,8,1
76,20800000,7,1
53,12000000,8,1
63,11100000,5,1
63,640500000,8,3
63,41200000,7,1
28,5000000,5,2
46,12100000,6,2
46,17300000,2,2
63,645600000,8,3
67,14500000,2,2
59,997200000,2,4
68,165300000,5,2
71,43000000,1,3
47,29700000,7,1
56,48400000,4,2
20,18800000,8,3
24,25700000,3,3
57,23500000,1,3
43,4900000,3,2
77,404400000,1,4
54,47000000,4,2
70,22800000,7,1
55,25700000,3,2
42,29500000,6,2
67,16700000,6,1
37,49600000,4,2
68,20300000,2,2
68,25500000,6,1
52,606500000,4,3
77,16200000,4,1
44,36200000,8,2
30,29100000,1,4
49,21700000,1,3
77,14300000,4,1
33,24500000,1,4
71,45000000,7,1
46,137700000,3,2
21,14400000,3,3
77,18900000,7,1
51,28400000,8,1
54,18300000,5,1
46,37200000,8,1
26,40200000,6,2
76,15500000,4,1
71,18700000,8,1
32,772800000,8,3
20,34600000,3,3
46,42600000,6,2
36,42400000,4,2
46,26200000,1,3
55,17800000,3,2
29,13000000,8,2
36,42200000,2,3
78,41900000,8,1
48,33200000,6,2
34,6600000,4,2
62,11500000,8,1
72,155600000,3,2
75,22100000,6,1
36,46700000,2,3
60,47600000,3,2
52,39900000,7,1
73,100000,7,1
46,36200000,3,2
46,909100000,5,3
33,15100000,5,2
70,561200000,2,3
78,69600000,3,2
61,45100000,8,1
32,23100000,3,2
56,485600000,4,3
80,6600000,2,2
38,374300000,8,3
27,9400000,7,2
55,48600000,6,1
40,18200000,1,3
32,7400000,7,2
29,44800000,1,4
47,44400000,3,2
64,30900000,3,2
37,19900000,1,3
45,35200000,5,2
34,18700000,6,2
43,543100000,2,3
46,25200000,6,2
46,24800000,4,2
56,21100000,3,2
59,3800000,2,2
65,3100000,4,1
32,31200000,2,3
49,2600000,1,3
76,3700000,5,1
55,27300000,2,2
74,42800000,4,1
68,12900000,6,1
75,698500000,7,3
69,413200000,1,4
24,566600000,2,4
21,3600000,1,4
68,7400000,1,3
68,305700000,8,2
41,16900000,6,2
49,362100000,6,2
48,591000000,7,3
59,30500000,4,2
21,6600000,5,3
76,47200000,4,1
54,14800000,1,3
53,15800000,7,1
27,5800000,2,3
70,43300000,1,3
66,17500000,6,1
39,854600000,8,3
58,48800000,8,1
25,9500000,4,3
59,96500000,8,1
60,16500000,2,2
25,41700000,4,3
34,7000000,7,2
21,594800000,4,4
38,4000000,1,3
63,27600000,8,1
32,32100000,8,2
65,49300000,3,2
61,1800000,7,1
58,21400000,4,2
23,44700000,6,3
37,10000000,3,2
62,30600000,2,2
77,44700000,7,1
80,10300000,8,1
32,9000000,3,2
54,15600000,7,1
24,9400000,1,4
63,13700000,1,3
55,9800000,3,2
43,36000000,8,2
32,6400000,5,2
41,46000000,4,2
73,8500000,7,1
56,28600000,7,1
30,8000000,2,3
70,26200000,3,2
75,581700000,7,2
34,964000000,4,4
45,46600000,4,2
47,359600000,7,2
34,30300000,2,3
22,692900000,2,5
63,996500000,8,3
66,24300000,8,1
48,8300000,4,2
64,128600000,3,2
69,4300000,4,1
41,13600000,5,2
49,35600000,4,2
27,37400000,2,3
71,20900000,7,1
32,39100000,5,2
56,200000,4,2
32,46800000,7,2
39,26100000,2,3
24,380700000,5,3
76,33800000,3,2
59,23800000,3,2
74,10800000,4,1
59,29000000,8,1
27,44100000,7,2
28,39700000,5,2
30,4600000,4,2
49,12100000,5,2
58,832800000,8,3
70,29400000,5,1
43,40500000,5,2
64,852900000,6,3
55,14500000,7,1
54,43800000,6,1
20,27300000,3,3
23,17700000,1,4
50,60000000,4,2
57,48900000,7,1
73,787800000,2,3
32,13800000,7,2
60,32600000,5,1
54,31500000,3,2
30,49300000,5,2
21,43100000,2,3
29,35700000,5,2
66,392300000,7,2
72,23900000,8,1
62,14500000,3,2
68,14500000,3,2
45,23400000,5,2
70,21600000,7,1
47,626400000,6,3
27,39500000,7,2
67,22000000,4,1
56,45800000,4,2
29,688200000,1,5
76,26600000,2,2
61,14200000,6,1
50,9600000,2,2
32,17800000,5,2
31,48300000,2,3
74,9500000,4,1
78,38800000,7,1
63,842000000,8,3
28,6100000,3,3
47,31300000,6,2
42,32500000,7,2
75,29200000,7,1
30,413300000,3,3
54,394900000,6,2
60,289000000,8,2
35,35200000,8,2
39,632100000,4,3
23,17600000,4,3
40,33000000,3,2
80,7300000,7,1
31,39600000,4,2
58,41300000,2,2
60,42400000,6,1
20,4200000,2,3
37,3200000,5,2
58,17100000,5,1
56,22600000,5,1
60,26900000,8,1
54,4100000,4,2
22,2000000,1,4
29,33100000,6,2
44,34900000,2,2
28,6100000,4,2
79,6600000,6,1
